paper,arxiv_id,bic,hss,idp,crs,fmi,cprs,source
SWE-bench,2310.06770,0.5,0.0,0.5,0.0,0.0,0.20,arxiv
WebArena,2307.13854,0.5,0.5,1.0,0.0,0.5,0.50,arxiv
OSWorld,2404.07972,0.5,0.5,0.5,0.0,0.0,0.30,arxiv+github
GAIA,2311.12983,0.5,0.5,0.0,0.0,0.0,0.20,arxiv
AgentBench,2308.03688,1.0,0.5,1.0,0.0,1.0,0.70,arxiv
VisualWebArena,2401.13649,0.5,0.5,0.5,0.0,0.5,0.40,arxiv
Mind2Web,2306.06070,0.5,0.5,0.5,0.0,0.5,0.40,arxiv
MLE-bench,2410.07095,0.5,0.5,0.5,0.0,0.0,0.30,github
HumanEval,2107.03374,1.0,NA,0.5,0.5,1.0,0.75,arxiv
MMLU,2009.03300,1.0,NA,0.5,0.0,0.5,0.50,arxiv
GSM8K,2110.14168,1.0,NA,0.5,0.5,0.0,0.50,arxiv
MBPP,2108.07732,1.0,NA,0.5,1.0,1.0,0.875,arxiv
